product_id,category,price
1001,Tech,$453.94
1002,Auto,$994.50
1003,Tech,$184.16
1004,Tech,$27.89
1005,Auto,$498.95
1006,Auto,$187.03
1007,Tech,$372.80
1008,Home,$746.72
1009,Tech,$723.72
1010,Tech,$314.98
1011,Tech,$547.11
1012,Tech,$513.72
1013,Auto,$639.96
1014,Tech,$257.95
1015,Home,$593.97
1016,Auto,$979.09
1017,Home,$491.87
1018,Home,$907.03
1019,Home,$440.05
1020,Home,$356.57
1021,Auto,$648.65
1022,Auto,$672.23
1023,Home,$865.52
1024,Home,$237.88
1025,Auto,$504.20
1026,Auto,$576.28
1027,Auto,$770.86
1028,Tech,$53.17
1029,Tech,$994.60
1030,Tech,$475.24
1031,Home,$286.76
1032,Tech,$884.65
1033,Home,$750.23
1034,Home,$953.53
1035,Tech,$337.44
1036,Home,$557.23
1037,Tech,$576.56
1038,Tech,$980.52
1039,Auto,$84.59
1040,Tech,$312.64
1041,Auto,$199.00
1042,Tech,$275.79
1043,Tech,$490.42
1044,Auto,$378.96
1045,Auto,$400.74
1046,Tech,$845.76
1047,Home,$930.71
1048,Auto,$79.71
1049,Home,$216.83
1050,Home,$674.43
1051,Home,$365.06
1052,Auto,$261.62
1053,Home,$302.33
1054,Auto,$329.32
1055,Home,$850.17
1056,Tech,$145.25
1057,Tech,$711.81
1058,Auto,$557.29
1059,Tech,$303.54
1060,Tech,$425.58
1061,Home,$263.64
1062,Auto,$615.39
1063,Home,$90.78
1064,Home,$15.13
1065,Home,$631.61
1066,Home,$202.33
1067,Home,$80.23
1068,Home,$402.81
1069,Home,$60.26
1070,Auto,$887.74
1071,Tech,$37.34
1072,Home,$583.07
1073,Home,$444.08
1074,Home,$675.30
1075,Home,$334.87
1076,Home,$163.49
1077,Home,$982.01
1078,Tech,$840.54
1079,Tech,$861.79
1080,Home,$257.75
1081,Tech,$48.45
1082,Auto,$310.23
1083,Home,$541.71
1084,Auto,$333.38
1085,Auto,$829.58
1086,Home,$278.82
1087,Tech,$965.59
1088,Auto,$462.69
1089,Home,$843.59
1090,Auto,$202.43
1091,Auto,$417.24
1092,Auto,$702.51
1093,Auto,$146.97
1094,Tech,$141.42
1095,Auto,$969.83
1096,Auto,$717.44
1097,Auto,$50.66
1098,Tech,$404.83
1099,Auto,$439.18
1100,Auto,$746.59
1101,Tech,$258.35
1102,Tech,$192.49
1103,Tech,$90.06
1104,Auto,$434.03
1105,Tech,$691.61
1106,Tech,$67.61
1107,Auto,$916.05
1108,Tech,$447.92
1109,Auto,$247.39
1110,Home,$102.93
1111,Tech,$191.04
1112,Home,$935.26
1113,Auto,$641.88
1114,Tech,$521.52
1115,Auto,$660.53
1116,Home,$441.31
1117,Auto,$732.73
1118,Tech,$57.24
1119,Tech,$570.37
1120,Home,$167.06
1121,Auto,$128.96
1122,Tech,$348.46
1123,Home,$100.88
1124,Tech,$103.21
1125,Tech,$318.30
1126,Auto,$979.71
1127,Tech,$183.58
1128,Auto,$26.99
1129,Tech,$765.72
1130,Home,$808.84
1131,Tech,$352.84
1132,Auto,$470.02
1133,Auto,$653.27
1134,Home,$57.58
1135,Tech,$949.64
1136,Tech,$887.80
1137,Home,$268.28
1138,Tech,$25.15
1139,Tech,$934.09
1140,Auto,$506.02
1141,Tech,$543.98
1142,Tech,$687.12
1143,Home,$619.69
